
str_yes|Yes.
str_trait_title_merciful|Merciful
str_trait_desc_merciful|You have aquired a reputation for merciful treatment towards the evil men who serve the Enemy. Many of the hardened men who serve you are conflicted by your behavior and suffer a morale penalty. Among the wise, however, your mercy is seen as evidence of high character and you recieve an influence bonus.
str_trait_title_bravery|Bravery
str_trait_desc_bravery|You have aquired a reputation for bravery in the face of great danger. Your courage is spoken of in both quiet taverns and the halls of the wise. Your deeds inspire your men and they recieve a weekly morale bonus.
str_trait_title_oathkeeper|Oathkeeper
str_trait_desc_oathkeeper|You have sworn grim oaths and lived to see them fulfilled. Subsequently you have aquired a reputation as a man of his word. You receive a weekly influence bonus.
str_trait_title_oathbreaker|Oathbreaker
str_trait_desc_oathbreaker|You have sworn grim oaths and failed to see them through to their conclusion. Subsequently you have aquired a reputation as a man whose passion outstrips his prowess. You receive a weekly influence penalty.
str_trait_title_orc_pit_champion|Orc Pit Champion
str_trait_desc_orc_pit_champion|You have become renowned as a brutal warrior who was able to survive the cruelest of the orcish fighting contests. Such strength is both respected and feared by your black hearted followers and they now receive a weekly morale bonus.
str_trait_title_despoiler|Despoiler
str_trait_desc_despoiler|You have aquired a reputation for leaving behind wanton destruction wherever you travel. Such behavior is valued by the dark powers you serve and your receive a weekly influence bonus.
str_trait_title_accursed|Accursed
str_trait_desc_accursed|You sense that you have drawn the ire of powers beyond the sea. Your followers sense this doom as well and fear being around you. They receive a weekly morale penalty.
str_trait_title_stealthy|Stealthy
str_trait_desc_stealthy|You have developed uncanny skill in the art of stealthy infiltration. You receive a bonus to your stealth rating when undertaking such missions.
str_trait_title_berserker|Berserker
str_trait_desc_berserker|After many battles where you eschewed the use of armor your ferocious will has become like iron. While fighting lightly armoured, each slain foe fills you with grim vigor.
str_trait_title_infantry_captain|Infantry Captain
str_trait_desc_infantry_captain|You have developed uncanny skill in the command of infantry troops. Due to rigorous and specialized training such troops will receive a small health boost, once per battle.
str_trait_title_archer_captain|Archery Captain
str_trait_desc_archer_captain|You have developed uncanny skill in the command of missile troops. Due to rigorous and specialized training such troops will receive a small health boost, once per battle.
str_trait_title_cavalry_captain|Cavalry Captain
str_trait_desc_cavalry_captain|You have developed uncanny skill in the command of mounted troops. Due to rigorous and specialized training such troops will receive a small health boost, once per battle.
str_trait_title_command_voice|Command Voice
str_trait_desc_command_voice|Your experience with commanding men in the field has lent you an air of authority. The influence cost to give orders to armies in the field has been reduced.
str_trait_title_foe_hammer|Foe Hammer
str_trait_desc_foe_hammer|Having slain many of the great captains of the enemy you find that you have earned a reputation as a fearsome warrior. Troops under your command now receive a weekly morale bonus. Your experiences have also honed your skill in battle.
str_trait_title_battle_scarred|Battle Scars
str_trait_desc_battle_scarred|You have suffered horrific wounds during your many campaigns yet you still live to tell the tale. Your scarred and knotted flesh now conspires with hard experience to increase your resistance to injury. While others may find your appearance somewhat shocking your followers consider it an affirmation of your battle experience. They subsequently receive a weekly morale bonus.
str_trait_title_fell_beast|Fell Beast
str_trait_desc_fell_beast|Your hide is riven with the knotted scars of countless battles and your evil will is likewise hard and unyielding. Even by the standards of orc, uruk and troll-kind you are judged a fell and dangerous beast. Those who serve you cry your name in joy when you take to the field. You are an avatar of war itself and there is little you fear.
str_trait_title_butcher|Butcher
str_trait_desc_butcher|Experience has honed your skill in extracting more meat from the flesh of your enemies. You gain an extra pound of flesh every time you slaughter one of your prisoners for meat. You also get more human meat after every battle.
str_trait_title_well_travelled|Well-Travelled
str_trait_desc_well_travelled|On stone paved roads and mossy animal paths, over the tallest mountains and in the deepest vales, you've discovered hidden places and seen long forgotten marvels. From your experiences, you've learnt to spot enemies before they see you, and the easiest route for your troops.
str_trait_title_bear_shape|Skinchanger
str_trait_desc_bear_shape|It is said that men of Beorn's line have the ability to take bear form. Through your kinship with bears you have discovered that you too have that gift.
str_wound_head|a heavy blow to the head
str_wound_chest|some cracked ribs
str_wound_arm|a badly maimed arm
str_wound_leg|a badly maimed leg
str_gondor_gift0|Fresh Fruit and Wine
str_gondor_gift1|Richly Dyed Cloth
str_gondor_gift2|Ancient Tomes and Family Trees
str_gondor_gift3|Spices and Incense
str_gondor_gift4|Auroch War Horns
str_dwarf_gift0|Strong Beer and Rock Salt
str_dwarf_gift1|Hardened Shovels and Axes
str_dwarf_gift2|Harps and Flutes
str_dwarf_gift3|Robes Embroidered With Golden Thread and Gems
str_dwarf_gift4|Marvellous Jewelry
str_rohan_gift0|Mead and Apple Wine
str_rohan_gift1|Embroided Tunics and Silver-Studded Belts
str_rohan_gift2|Golden Torcs and Engraved Drinking Horns
str_rohan_gift3|Fine Horse Barding
str_rohan_gift4|Rohan Horses
str_mordor_gift0|Weak Peat Beer
str_mordor_gift1|Snaga Oil
str_mordor_gift2|Mordor Fly Larvae
str_mordor_gift3|Orodruin Obsidian
str_mordor_gift4|Farmer Slaves
str_isengard_gift0|Dried Human Meat
str_isengard_gift1|Black Iron Chains
str_isengard_gift2|Tools of Torture
str_isengard_gift3|Alchemist Glasswork
str_isengard_gift4|Saruman's Petty Rings
str_lorien_gift0|Seeds, Nuts and Berries
str_lorien_gift1|Cold Lanterns and Strong Rope
str_lorien_gift2|Lembas
str_lorien_gift3|Silver Belts and Broaches
str_lorien_gift4|Elven Cloaks
str_imladris_gift0|White Bread and Herbal Butter
str_imladris_gift1|Crystal Glassware
str_imladris_gift2|Miruvor
str_imladris_gift3|Embroidered Banners and Silver-Inlaid Horns
str_imladris_gift4|Healing Herbs and Ointments
str_woodelf_gift0|Soft Animal Hides
str_woodelf_gift1|Arrow Heads and Fletching
str_woodelf_gift2|Hunting Spears
str_woodelf_gift3|Trained Birds of Prey
str_woodelf_gift4|Drinking Cups of Red Gold
str_dale_gift0|Semi-Precious Stones and Glass Beads
str_dale_gift1|Codexes of Heroic Sagas
str_dale_gift2|Dorwinion Wine
str_dale_gift3|Luxurious Furs
str_dale_gift4|Intricate Toys and Instruments
str_harad_gift0|Figs and Pomegranates
str_harad_gift1|Warrior Necklaces
str_harad_gift2|Carved Ivory
str_harad_gift3|Sacred Snake Wine
str_harad_gift4|Golden Serpent Statues
str_rhun_gift0|Waterskins
str_rhun_gift1|Tattoo Ink
str_rhun_gift2|Headgear with Horns and Antlers
str_rhun_gift3|Horsehair Whips
str_rhun_gift4|Horse Meat and Milk
str_khand_gift0|Colourful Spices
str_khand_gift1|Rolls of Silk
str_khand_gift2|Hunting Falcons
str_khand_gift3|Ingots of Water Steel
str_khand_gift4|Sacred Warrior Masks
str_umbar_gift0|Oysters and Sea Salt
str_umbar_gift1|Whalebone Combs and Fishing Hooks
str_umbar_gift2|Pleasure Slaves
str_umbar_gift3|Sailing Maps of the Southern Seas
str_umbar_gift4|Mysterious Numenorean Schematics
str_moria_gift0|Putrid Dwarven Ale
str_moria_gift1|Coal
str_moria_gift2|Luminescent Deep-Worms
str_moria_gift3|Black Cave Pearls
str_moria_gift4|Dwarven Metal Scraps
str_guldur_gift0|Black Liquor
str_guldur_gift1|Poisonous Vines of Torture
str_guldur_gift2|Wheeled Slave Cages
str_guldur_gift3|Giant Spider Eggs
str_guldur_gift4|Tomes of Dark Sorcery
str_gundabad_gift0|Spiky Bone Piercings
str_gundabad_gift1|Protective Warpaints
str_gundabad_gift2|Boiled Dwarven Lard
str_gundabad_gift3|Mummified Corpse Idols
str_gundabad_gift4|Black Wargs
str_dunland_gift0|Stinky Goat Cheese
str_dunland_gift1|Flint Sacrificial Knives
str_dunland_gift2|Bronze Arm Rings
str_dunland_gift3|Goats
str_dunland_gift4|Wolf Skulls and Claws
str_beorn_gift0|Honey Cakes and Mead
str_beorn_gift1|Bee Wax and Hemp Cloth
str_beorn_gift2|Bee Hives
str_beorn_gift3|Amber Necklaces
str_beorn_gift4|Well Trained Ponies
str_cmenu_follow|Accompany
str_reset_to_default|Reset to Default
str_done|Done
str_gondor1|Gondor1
str_gondor2|Gondor2
str_gondor3|Gondor3
str_gondor4|Gondor4
str_gondor5|Gondor5
str_gondor6|Gondor6
str_gondor7|Gondor7
str_gondor8|Gondor8
str_gondor_end|Gondor1
str_gondor_intro|^It is a bitter thought, that a hero of this great kingdom should die within the sight of his land, unaided and helpless.^^The news of Boromir’s death passed like a swift wind through all of Gondor, even to the plains of Pinnath Gelin and the hills of Lamedon, even to the shores of Pelargir and the coasts of Dol Amroth. The hearts of all your people are filled with grief and pity; and more besides, with fear and foreboding, for Gondor is hard pressed and sore beset, ringed by implacable foes or uncertain friends.^^The Shadow rises in the East, as of old; the fractious Corsairs of Umbar grow bolder; the wild men of the East and South press their claims upon Gondorian land.^^No longer can you stand by and wait. Trust you have placed in your captains; sword and spear they will place in your hand. Gondor wanes, but Gondor still stands; and even the end of its strength is still very strong. You have resolved yourself to play what part you may in this coming war against the servants of the Nameless. Much is spoken of in the councils of the great and wise, to which you are not privy, but there is one thing you feel you can be sure of.^^If the valiant hearts of Gondor should fail, and Minas Tirith be lost, then the last light of the West will be extinguished. All will fall beneath the Shadow.
str_dwarf_intro|^The Kingdom under the Mountain has done well, of that there can be no dispute. Old King Dáin has just passed his two hundred and fiftieth year, and by any measure he is fabulously wealthy. Under his rule, Erebor thrives, and knows greatness. The waterways, fountains and pools of neighbouring Dale bear witness to how your builders have surpassed the skill of even your forefathers, though their secrets of metalwork have regrettably been lost.^^Yet a darkness from Mordor entered these halls, when Sauron’s foul envoy, with his breath like the hiss of snakes, came bearing evil words. Heavy have been the hearts of your chieftains since then, for the power that has re-entered Mordor has not changed. The Shadow grows and draws nearer - already the Enemy is moving, and war will soon begin.^^You have sworn to take up arms, and stand with your friends against your foes. You will resist, with hope or without it.^^But if the bravery of the Dwarves of Erebor should prove insufficient, then the glory of Durin’s folk will fade away and be forgotten. All will fall beneath the Shadow.
str_rohan_intro|^In these days of doubt, one thing you know to be true: open war lies before the proud people of Rohan. None may live now as they have lived, and few shall keep what they call their own. Some close to the King’s ear speak craven counsels, but you have determined to go to him, take a grim oath of service, and stand with such fell-handed captains and thanes as will protect the herds and herdfolk.^^Saruman of Isengard has declared lordship over the lands of Rohan, and bitter is the fighting with Orcs, Wolf-riders and the evil Men of Dunland. The Lord of the Black Land to the east sends raiding parties to steal your horses, choosing always the black ones. Your heart misgives you, for it seems to you that enemies beset your people both east and west.^^But still you will give battle, for if aught is said of the Rohirrim, it is of your unfailing valour in arms, though foe should beleaguer you, or fire encircle you. The steeds of Rohan will stride as wind in the morning. And if death should come for you, then a mound will be raised, but for now, war calls you. Let horse be bridled, horn be sounded!^^Yet, if even the courage of the Sons and Daughters of Eorl should fail, then the last hope of Rohan will fade and die away. The horn will blow no more. All will fall beneath the Shadow.
str_mordor_intro|^The dark power rises again in the East. The numbers of the Dark Lord’s legions swell - Easterling men come to serve and pay tribute, hollow-eyed renegades from ancient Numenor craving a chance to regain what their ancestors lost, great hosts of orcs and uruks slavering at the thought of war and killing. The pens are filled with ferocious, fearsome wargs. And high above, in the black skies, fly the winged Nazgûl… the apple of the Great Eye, with power deep beyond the reach of your muddy dreams.^^You have resolved to rise in the ranks, by any means, and gain the favour of Lugbúrz. By wit, hardiness, and ruthless skill in battle you shall crush all who stand in your way. You will earn the favour of the Dark Lord of Mordor, he who is to rule all after this coming War… or you will die trying.^^The light of the West shall be snuffed out. The time of Mordor has come!
